timestamp,date,username,category,description,duration_min
2026-03-17T10:15:36+08:00,2026-03-17,Syamil,Review,Updated QA-6AF447 [Penalty Agent Labuan ] → Done 100% | proceed penalty RM 100 for agent Labuan,30
2026-03-18T10:04:57+08:00,2026-03-18,serol,Review,Updated QA-332901 [Amway Delivery Failed Depot (Daily)] → In Progress 60% | It has been scheduled to send the report to depot at 8.20AM.,75
2026-03-24T10:32:10+08:00,2026-03-24,serol,Review,Updated QA-1D289E [Recalculate EDD for Amway Dashboard] → In Review 80% | extend the range to 120days and recalculate the EDD for startclockdate!=firstscanshow.,480
2026-04-01T00:18:10+08:00,2026-04-01,serol,Review,"Updated QA-5E2F04 [Recalculate EDD for Uniqlo Dashboard] → In Progress 80% | publish the dashboard and add the dropdown, pending target and benchmark",300
2026-04-01T00:19:29+08:00,2026-04-01,serol,Review,Updated QA-09A31F [Add raudhya] → Done 100% | Add raudhya into hypercare list and priority merchant,60
2026-04-01T00:20:58+08:00,2026-04-01,serol,Review,Updated QA-B65AE8 [Self Collect Report for Chanel] → In Review 85% | already shared the sample report with sales/cs through email,240
2026-04-01T00:30:55+08:00,2026-04-01,serol,Review,Updated QA-1D289E [Recalculate EDD for Amway Dashboard] → Done 80% | Publish and share the update to alyu and saurabh,240
2026-04-01T00:31:46+08:00,2026-04-01,serol,Review,Updated QA-B65AE8 [Self Collect Report for Chanel] → Done 100% | Merchant update they dont want any email report,20
2026-04-01T00:33:05+08:00,2026-04-01,serol,Review,"Updated QA-332901 [Amway Delivery Failed Depot (Daily)] → In Progress 90% | added uniqlo to report list and renaming the report to priority merchant, tested and published",120
2026-04-01T00:34:00+08:00,2026-04-01,serol,Review,Updated QA-0038C5 [Request: Daily Chanel Parcel List for Depot Monitoring] → Done 100% | tested and schedule the report in splunk,120
2026-04-01T00:35:37+08:00,2026-04-01,serol,Review,Updated QA-0B65FA [OTP Feature Adjustment – VORWERK MALAYSIA ENTERPRISES SDN BHD - Sold-To: 9000000121] → Done 100% | adillah will reply to email,10
2026-04-01T00:36:09+08:00,2026-04-01,serol,Review,Updated QA-CF3E37 [Pickup Daily KPI Report] → Done 100% | Removed,10
2026-04-01T00:39:26+08:00,2026-04-01,serol,Review,Updated QA-8A9E41 [Request for Review of Delivery Rate Due to Rising Operating Costs] → Done 100% | Shared the file with tina on email,200
2026-04-01T00:41:37+08:00,2026-04-01,serol,Review,"Updated QA-DCA4CF [BOLTTECH Shipment Mar-31 (Tue) - 1 - KCH 7227038879022066] → Done 90% | PDO shipment was created, seek advise from CS to assist on this matter through email",30
2026-04-01T00:43:54+08:00,2026-04-01,serol,Review,Updated QA-510AF0 [POD Shipment Delivered Report Umobile] → Done 100% | Raised the ticket INC69137644 to it support.,10
2026-04-01T00:48:39+08:00,2026-04-01,serol,Review,"Updated QA-C20841 [CNDN - CHUAN SIN SDN BHD - 12032615.52-5302955509-CHUAN SIN SDN BHD] → Done 100% | As per check, baizura wrongly upload the file in wrong folder thus directing the approval to go to kiattichai. Explanati",30
2026-04-01T00:48:54+08:00,2026-04-01,serol,Review,"Updated QA-759832 [CNDN - CHUAN SIN SDN BHD - 12032615.52-5302955509-CHUAN SIN SDN BHD ] → Done 100% | As per check, baizura wrongly upload the file in wrong folder thus directing the approval to go to kiattichai. Explanati",30
2026-04-01T00:50:45+08:00,2026-04-01,serol,Review,Updated QA-332901 [Amway Delivery Failed Depot (Daily)] → In Progress 90% | added raudhya (9000001040) into the list as well. tested the query to ensure lookup can sustain the failed volume,120
2026-04-01T00:53:38+08:00,2026-04-01,serol,Review,"Updated QA-99E149 [Data Loss in Splunk] → Done 100% | Update from Tina under subjectemail: Production Issues: Splunk 

Hi all,

 

This is the closure summary of series of ac",30
2026-04-01T00:54:33+08:00,2026-04-01,serol,Review,"Updated QA-14800F [Relabel Report Esysms] → Done 100% | Setup and tested the query in splunk

 

This is the closure summary of series of action taken to recover data lost due ",200
2026-04-01T00:56:11+08:00,2026-04-01,serol,Review,"Updated QA-1F1B81 [Amway Failed Parcel Audit] → Done 100% | Tested and setup the report in splunk 

 

This is the closure summary of series of action taken to recover data lost du",300
2026-04-01T00:56:57+08:00,2026-04-01,serol,Review,Updated QA-018128 [WEB ENQUIRY] → Done 100% | shared the update to saurabh on email,100
2026-04-01T00:57:38+08:00,2026-04-01,serol,Review,Updated QA-F98DA8 [Amendment In Backlog Dashboard] → Done 100% | add the panel in backlog dashboard,60
2026-04-01T00:58:26+08:00,2026-04-01,serol,Review,Updated QA-FC4D29 [MY_EncodeDispatch_Daily report] → Done 100% | Setup and schedule the report in splunk,240
2026-04-01T01:01:03+08:00,2026-04-01,serol,Review,"Updated QA-F34504 [Adding controllable and uncontrollable failure reason page in SCNC] → In Progress 50% | based data has been setup in sharepoint, next to build the measure",240
2026-04-01T01:02:41+08:00,2026-04-01,serol,Review,"Updated QA-83FF9E [MY - Live Pickup Performance Today] → Done 100% | explain to alyu and adillah in email

""It based on which one user pick : Job Creation, Job Acceptance, Job Start Date. I",40
2026-04-01T01:03:51+08:00,2026-04-01,serol,Review,"Updated QA-3AC6EE [MY - Delivery Today] → Done 100% | explain to alyu and adillah in email

""Dashboard has been updated with depotcode columns.""

for request on failure reaso",200
2026-04-01T01:04:52+08:00,2026-04-01,serol,Review,"Updated QA-8935AB [New Dashboard] → In Progress 50% | explain to alyu and adillah in email

""Dashboard Feasibility & Technical Challenges
                                    ",20
2026-04-01T01:22:19+08:00,2026-04-01,serol,Review,"Updated QA-C628F4 [Single Dashboard for Pickup, Encoded, Delivered daily] → Done 100% | closed this ticket and continue with ticket: QA-8935AB",30
2026-04-01T01:35:48+08:00,2026-04-01,serol,Review,Updated QA-018128 [WEB ENQUIRY] → Done 100% | shared to saurabh,15
2026-04-01T14:11:08+08:00,2026-04-01,serol,Review,Updated QA-A4782F [Daily performance for sinyakmutia_lmpmy] → Done 100% | Shared the csv to adillah via teams,50
2026-04-02T16:50:20+08:00,2026-04-02,serol,Review,"Updated QA-F34504 [Adding controllable and uncontrollable failure reason page in SCNC] → In Progress 90% | Add 2 new page 
1. failure reason trend
2. courier performance
3. fix RLS for depot",480
2026-04-09T14:19:20+08:00,2026-04-09,Syamil,Review,Updated QA-2ADE7E [MAXIMUS STRATEGIES_COD SHIPMENT STATUS] → Done 100% | Assist to check latest status for 8 shipments,30
2026-04-13T17:37:09+08:00,2026-04-13,Syamil,Review,Updated QA-98FE5D [Request to retrieve POD by Aliah] → Done 100% | provide the latest status for these shipments 7028083455487785 and 7027083455487385,30
2026-04-21T10:40:55+08:00,2026-04-21,Syamil,Review,"Updated QA-DB8392 [YS Hamper|| Full Hi POD Request] → Done 100% | POD Request for 7027026480570866, 7027026489016166 and 7028023609026126",30
2026-04-24T14:51:19+08:00,2026-04-24,Syamil,Review,"Updated QA-0F6E18 [RE: POD Request//7228017282899106 by Sebastian] → Done 100% | Provide the POD for the following ID as per requested by merchant due to a dispute. 

ID: 7228017282899106",30
2026-05-04T09:57:42+08:00,2026-05-04,Syamil,Review,Updated QA-3AD21D [RE: POD Required - 7028025189990876 by CS/Aliah] → Done 100% | Provide POD 7028025189990876 Delivery date on 10 February 2026,30
2026-09-14T10:00:10+08:00,2026-09-14,serol,Review,"Updated QA-4BFBD7 [MPS Complete & Incomplete Rate] → Backlog 100% | -	We have started writing the rate for incomplete MPS to summary index. This is available under “index=""ecs_my_half_year",240
2026-09-14T10:00:24+08:00,2026-09-14,serol,Review,"Updated QA-4BFBD7 [MPS Complete & Incomplete Rate] → Done 100% | -	We have started writing the rate for incomplete MPS to summary index. This is available under “index=""ecs_my_half_year",240
2026-09-14T10:01:53+08:00,2026-09-14,serol,Review,Updated QA-4C713E [Deactivate SHOPEE_PICKUP_Weekly_REPORT(5256152462)] → Done 100% | Close by IT support,30
2026-09-14T10:02:45+08:00,2026-09-14,serol,Review,Updated QA-F34504 [Adding controllable and uncontrollable failure reason page in SCNC] → In Progress 90% | Pending recorrection on data,180
2026-09-14T10:05:37+08:00,2026-09-14,serol,Review,Updated QA-1E8AC4 [Depot KPI and Depot Award for 2026] → Done 100% | Lookup file for this requirement has been setup,480
2026-09-14T10:06:17+08:00,2026-09-14,serol,Review,Updated QA-8935AB [New Dashboard] → Done 100% | APR has been raised for this dashboard.,480
2026-09-14T10:10:05+08:00,2026-09-14,serol,Review,Updated QA-A67A15 [Request for Pickup and Delivery Data - 9000000015 (SRA LOGISTIK SDN BHD)] → Done 100% | Shared the data with requestor,160
2026-09-14T10:13:24+08:00,2026-09-14,serol,Review,Updated QA-3616D7 [PROD > Apollo | Amend logic for report : Pickup Failure Report] → Done 0% | Discussing with Theo and apply necessary change to server 2244.,180
2026-09-14T10:17:36+08:00,2026-09-14,serol,Review,Updated QA-9E5AC7 [Volume Trend - Changes & New tab] → Done 100% | Apply changes and deploy to prod on 26/5/26,30
2026-09-14T10:27:20+08:00,2026-09-14,serol,Review,Updated QA-3ACA14 [Operations KPI (Delivery): 15 Days Delivered/Return Day] → Done 100% | Query has been prepared and data has been shared,240
2026-09-14T10:55:04+08:00,2026-09-14,serol,Review,Updated QA-7DB325 [Pickup No Movement Today] → Done 100% | added,30
2026-09-14T10:55:43+08:00,2026-09-14,serol,Review,Updated QA-12C7CC [Hypercare Splunk Dashboard - Temu] → Done 100% | Added the dashboard in splunk,480
2026-09-14T11:22:51+08:00,2026-09-14,serol,Review,"Updated QA-E08E0A [Temu - breakup of failure] → Done 100% | Hi Asrol

Insightful data – helps in decision making. This is good view

Alyu - 
                a) KTG – looks like an ",240
2026-09-14T11:34:46+08:00,2026-09-14,serol,Review,Updated QA-723317 [Splunk Access Request] → Done 100% | granted,30
2026-09-14T11:35:23+08:00,2026-09-14,serol,Review,"Updated QA-4EEDBB [NC Performance for SH, DD and PDE Shipment by Depot] → Done 100% | Shared to Adillah in teams, setup daily report in splunk",240
2026-09-14T11:35:42+08:00,2026-09-14,serol,Review,"Updated QA-1151B2 [Delivery Rate for FTE Courier] → Done 100% | Shared to Adillah in teams, setup daily report in splunk",240
2026-09-14T11:36:24+08:00,2026-09-14,serol,Review,Updated QA-E5FE97 [Volume Tracker- Service Point] → Done 100% | deploy to power bi opsx. notified wei mun on the changes,480
2026-09-14T11:37:47+08:00,2026-09-14,serol,Review,Updated QA-952C65 [[APR-3168] Shipment Visibility Dashboard - Jira] → In Progress 100% | Shared mockup dashboard to ramsha,200
